,ID,NAME,LAT,LON
120,KCYS,CHEYENNE,41.151919,-104.806031
121,KDAX,SACRAMENTO,38.501111,-121.677833
122,KDYX,DYESS AFB,32.5385,-99.254333
123,KESX,LAS VEGAS,35.70135,-114.89165
124,KGSP,GREER,34.883306,-82.219833
125,KHGX,HOUSTON,29.4719,-95.07873299999999
126,KMBX,MINOT AFB,48.393056,-100.864444
127,KPBZ,PITTSBURGH,40.531717,-80.217967
128,KRAX,RALEIGH DURHAM,35.665519,-78.48975
129,KSGF,SPRINGFIELD,37.235239,-93.40041900000001
130,KHDX,HOLLOMAN AFB,33.077,-106.120033
131,KSRX,FT SMITH,35.290417,-94.361889
132,PAIH,MIDDLETON IS,59.460767,-146.303447
133,PHMO,MOLOKAI,21.132778,-157.180278
134,TIDS,INDIANAPOLIS,39.636944,-86.436111
135,TMCI,KANSAS CITY,39.498056,-94.74194400000002
136,TEWR,NEWARK,40.593056,-74.27
137,TPHL,PHILA,39.948889,-75.068889
138,KOUN,NORMAN NSSL,35.236058,-97.46235
139,KCCX,STATE COLLEGE,40.923167,-78.003722
140,KBLX,BILLINGS,45.853778,-108.606806
141,KBYX,KEY W,24.5975,-81.703167
142,KCLE,CLEVELAND,41.413217,-81.859867
143,KCLX,CHARLESTON,32.655528,-81.042194
144,KDTX,DETROIT,42.7,-83.471667
145,KDVN,DAVENPORT,41.611667,-90.580833
146,KEMX,TUCSON,31.89365,-110.63025
147,KEOX,FT RUCKER,31.460556,-85.459389
148,KEVX,EGLIN AFB,30.565033,-85.921667
149,KFDX,CANNON AFB,34.634167,-103.618889
150,KFFC,ATLANTA,33.36355,-84.56595
151,KFTG,DENVER FRONT RANGE AP,39.786639,-104.545806
152,KGRB,GREEN BAY,44.498633,-88.111111
153,KGRK,FT HOOD,30.721833,-97.382944
154,KGWX,COLUMBUS AFB,33.896917,-88.329194
155,KLWX,STERLING,38.976111,-77.4875
156,KMUX,SAN FRANCISCO,37.155222,-121.898444
157,KMXX,MAXWELL AFB,32.53665,-85.78975
158,KOAX,OMAHA,41.320369,-96.36681899999999
159,KTWX,TOPEKA,38.99695,-96.23255
160,PABC,BETHEL FAA,60.791944,-161.876389
161,PHKI,S KAUAI,21.893889,-159.5525
162,KBHX,EUREKA,40.498583,-124.292167
163,KBUF,BUFFALO,42.948789,-78.736781
164,KCBX,BOISE,43.490217,-116.236033
165,KDMX,DES MOINES,41.7312,-93.722869
166,KENX,ALBANY,42.586556,-74.064083
167,KEWX,AUSTIN SAN ANTONIO,29.704056,-98.02861099999998
168,KGLD,GOODLAND,39.366944,-101.700278
169,KLRX,ELKO,40.73955,-116.8027
170,KLVX,LOUISVILLE,37.975278,-85.943889
171,KMOB,MOBILE,30.679444,-88.24
172,KMPX,MINNEAPOLIS,44.848889,-93.565528
173,KMSX,MISSOULA,47.041,-113.986222
174,KPAH,PADUCAH,37.068333,-88.771944
175,KSOX,SANTA ANA MOUNTAINS,33.817733,-117.636
176,KUDX,RAPID CITY,44.124722,-102.83
177,KVBX,VANDENBERG AFB,34.83855,-120.397917
178,PAIH,MIDDLETON IS,59.460767,-146.303447
179,PAKC,KING SALMON,58.67944399999999,-156.629444
180,PAPD,FAIRBANKS,65.035114,-147.501431
181,TADW,ANDREWS AFB,38.695,-76.845
182,TLVE,CLEVELAND,41.29,-82.008056
183,TDAL,DALLAS LOVE FLD,32.926111,-96.968056
184,TMSY,NEW ORLEANS,30.021944,-90.40305599999999
185,TOKC,NORMAN WFO,35.276111,-97.51
186,TPIT,PITTSBURGH,40.501111,-80.486111
187,TTUL,TULSA,36.071111,-95.82694400000001
188,KLIX,NEW ORLEANS,30.336667,-89.825417
189,KPOE,FT POLK,31.155278,-92.976111
190,RKJK,KUNSAN,35.924167,126.622222
191,TLAS,LAS VEGAS,36.143889,-115.00694
192,KDOX,DOVER AFB,38.825767,-75.440117
193,KILX,LINCOLN,40.1505,-89.336792
194,KMQT,MARQUETTE,46.531111,-87.548333
195,KRTX,PORTLAND,45.715039,-122.965
196,KTLH,TALLAHASSEE,30.397583,-84.328944
197,KJAX,JACKSONVILLE,30.484633,-81.7019
198,KPUX,PUEBLO,38.45955,-104.18135
199,KEYX,EDWARDS,35.09785,-117.56075
200,THOU,HOUSTON HOBBY,29.516111,-95.24194400000002
201,KCBW,HOULTON,46.03925,-67.806431
202,KBMX,BIRMINGHAM,33.172417,-86.770167
203,KDIX,PHILA,39.947089,-74.410731
204,KLCH,LAKE CHARLES,30.125306,-93.21588900000002
205,KSFX,POCATELLO,43.1056,-112.686133
206,KMKX,MILWAUKEE,42.9679,-88.550667
207,KOHX,NASHVILLE,36.247222,-86.5625
208,KYUX,YUMA,32.495281,-114.656711
209,RKSG,CAMP HUMPHREYS,37.207569,127.285561
210,TFLL,FT LAUDERDALE,26.143056,-80.343889
211,KLGX,LANGLEY HILL NW WASHIN,47.11694399999999,-124.106667
